"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
3.274875100E-2;2.056875153E2;3.410437622E2;1.134187546E2;4.141038705E2
4.274875100E-2;2.053687592E2;3.407437744E2;1.142625046E2;4.139306307E2
5.274875100E-2;2.048062592E2;3.404437561E2;1.143187561E2;4.134202860E2
6.274875100E-2;2.046562653E2;3.404625244E2;1.142812576E2;4.133510896E2
7.274875100E-2;2.044687653E2;3.403500061E2;1.143187561E2;4.131759681E2
8.274875100E-2;2.044125061E2;3.400875244E2;1.142437515E2;4.129111668E2
9.274875100E-2;2.043000031E2;3.402000122E2;1.139812546E2;4.128756059E2
1.027487510E-1;2.044687653E2;3.400312500E2;1.141500015E2;4.128667458E2
1.127487510E-1;2.043937531E2;3.400875244E2;1.141312561E2;4.128707718E2
1.227487510E-1;2.043187561E2;3.400687561E2;1.138125076E2;4.127301780E2
1.327487510E-1;2.044687653E2;3.400125122E2;1.135687561E2;4.126909822E2
1.427487510E-1;2.046187592E2;3.400500183E2;1.135500031E2;4.127910546E2
1.527487510E-1;2.048812561E2;3.400312500E2;1.135125046E2;4.128954695E2
1.627487510E-1;2.048625031E2;3.400500183E2;1.135312576E2;4.129067771E2
1.727487510E-1;2.050312653E2;3.399562683E2;1.138687515E2;4.130062671E2
1.827487510E-1;2.049562531E2;3.400875244E2;1.136812515E2;4.130254434E2
1.927487510E-1;2.050687561E2;3.399375000E2;1.137937546E2;4.129887616E2
2.027487510E-1;2.052000122E2;3.398062744E2;1.142250061E2;4.130650084E2
2.127487510E-1;2.051437531E2;3.398437500E2;1.145250015E2;4.131509528E2
2.227487510E-1;2.050500031E2;3.399562683E2;1.146562576E2;4.132333790E2
2.327487510E-1;2.050687561E2;3.399000244E2;1.147687531E2;4.132276467E2
2.427487510E-1;2.049937592E2;3.401812744E2;1.149187546E2;4.134634940E2
2.527487510E-1;2.048250122E2;3.402375183E2;1.147500076E2;4.133792674E2
2.627487510E-1;2.047312622E2;3.402000122E2;1.146937561E2;4.132863362E2
2.727487510E-1;2.045062561E2;3.402000122E2;1.146562576E2;4.131645126E2
2.827487510E-1;2.047687531E2;3.401812744E2;1.144500046E2;4.132219080E2
2.927487510E-1;2.048812561E2;3.401437683E2;1.145437546E2;4.132727718E2
3.027487510E-1;2.049187622E2;3.398062744E2;1.144687576E2;4.129928567E2
3.127487510E-1;2.046750031E2;3.397687683E2;1.143937531E2;4.128203042E2
3.227487510E-1;2.048625031E2;3.396000061E2;1.142625046E2;4.127380880E2
3.327487510E-1;2.049000092E2;3.393937683E2;1.143187561E2;4.126026196E2
3.427487510E-1;2.050312653E2;3.393937683E2;1.144312515E2;4.126989957E2
3.527487510E-1;2.051250153E2;3.393375244E2;1.145062561E2;4.127201353E2
3.627487510E-1;2.049187622E2;3.393187561E2;1.144500046E2;4.125866223E2
3.727487510E-1;2.048812561E2;3.392250061E2;1.142437515E2;4.124337142E2
3.827487510E-1;2.048062592E2;3.393562622E2;1.141875076E2;4.124888646E2
3.927487510E-1;2.048250122E2;3.395250244E2;1.140750046E2;4.126059070E2
4.027487510E-1;2.047125092E2;3.395625000E2;1.141500015E2;4.126016549E2
4.127487510E-1;2.047125092E2;3.396375122E2;1.143000031E2;4.127049089E2
4.227487510E-1;2.045812531E2;3.397312622E2;1.141875076E2;4.126858448E2
4.327487510E-1;2.046750031E2;3.397875061E2;1.143562546E2;4.128253373E2
4.427487510E-1;2.046375122E2;3.397312622E2;1.144875031E2;4.127968390E2
4.527487510E-1;2.046937561E2;3.396937561E2;1.146000061E2;4.128250757E2
4.627487510E-1;2.047312622E2;3.396562500E2;1.144875031E2;4.127815963E2
4.727487510E-1;2.048062592E2;3.396000061E2;1.145062561E2;4.127777254E2
4.827487510E-1;2.049375153E2;3.395437622E2;1.143187561E2;4.127446300E2
4.927487510E-1;2.050500031E2;3.395625000E2;1.140562515E2;4.127432903E2
5.027487510E-1;2.050875092E2;3.393750000E2;1.141875076E2;4.126439918E2
5.127487510E-1;2.049375153E2;3.392062683E2;1.139250031E2;4.123580773E2
5.227487510E-1;2.046750031E2;3.393375244E2;1.137375031E2;4.122839215E2
5.327487510E-1;2.045062561E2;3.396375122E2;1.137187576E2;4.124420012E2
5.427487510E-1;2.045250092E2;3.396750183E2;1.139250031E2;4.125390936E2
5.527487510E-1;2.043750153E2;3.395812683E2;1.139812546E2;4.124030929E2
5.627487510E-1;2.043750153E2;3.397312622E2;1.141125031E2;4.125628931E2
5.727487510E-1;2.044125061E2;3.397875061E2;1.142062531E2;4.126537170E2
5.827487510E-1;2.043937531E2;3.399562683E2;1.142812576E2;4.128041624E2
5.927487510E-1;2.043187561E2;3.400687561E2;1.143937531E2;4.128908375E2
6.027487510E-1;2.043937531E2;3.401625061E2;1.144875031E2;4.130311431E2
6.127487510E-1;2.044125061E2;3.400125122E2;1.143937531E2;4.128909200E2
6.227487510E-1;2.043562622E2;3.401625061E2;1.143000031E2;4.129606557E2
6.327487510E-1;2.045812531E2;3.401812744E2;1.141125031E2;4.130356545E2
6.427487510E-1;2.046562653E2;3.400500183E2;1.141312561E2;4.129699087E2
6.527487510E-1;2.045250092E2;3.400500183E2;1.142625046E2;4.129411753E2
6.627487510E-1;2.047125092E2;3.400500183E2;1.142250061E2;4.130237020E2
6.727487510E-1;2.047125092E2;3.400125122E2;1.143375015E2;4.130239510E2
6.827487510E-1;2.046937561E2;3.399750061E2;1.143187561E2;4.129785909E2
6.927487510E-1;2.047875061E2;3.399750061E2;1.144125061E2;4.130510247E2
7.027487510E-1;2.047687531E2;3.398250122E2;1.143937531E2;4.129130803E2
7.127487510E-1;2.046750031E2;3.397875061E2;1.146750031E2;4.129137471E2
7.227487510E-1;2.046375122E2;3.398250122E2;1.146562576E2;4.129208250E2
7.327487510E-1;2.047500153E2;3.398437500E2;1.146000061E2;4.129763971E2
